#Minuto PersonasLlegadas En_cola En_servicio Salidas
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 0 0 0 0
17 0 0 0 0
18 0 0 0 0
19 0 0 0 0
20 0 0 0 0
21 0 0 0 0
22 0 0 0 0
23 0 0 0 0
24 0 0 0 0
25 0 0 0 0
26 0 0 0 0
27 0 0 0 0
28 0 0 0 0
29 0 0 0 0
30 0 0 0 0
31 0 0 0 0
32 0 0 0 0
33 1 0 1 0
34 1 0 1 0
35 1 0 1 0
36 1 0 1 0
37 1 0 1 0
38 1 0 1 0
39 1 0 1 0
40 1 0 0 1
41 1 0 0 1
42 1 0 0 1
43 1 0 0 1
44 1 0 0 1
45 1 0 0 1
46 1 0 0 1
47 1 0 0 1
48 1 0 0 1
49 1 0 0 1
50 1 0 0 1
51 1 0 0 1
52 1 0 0 1
53 1 0 0 1
54 1 0 0 1
55 1 0 0 1
56 1 0 0 1
57 1 0 0 1
58 1 0 0 1
59 1 0 0 1
60 1 0 0 1
61 1 0 0 1
62 1 0 0 1
63 1 0 0 1
64 1 0 0 1
65 1 0 0 1
66 1 0 0 1
67 1 0 0 1
68 1 0 0 1
69 1 0 0 1
70 1 0 0 1
71 1 0 0 1
72 1 0 0 1
73 1 0 0 1
74 2 0 1 1
75 2 0 1 1
76 2 0 0 2
77 2 0 0 2
78 2 0 0 2
79 2 0 0 2
80 2 0 0 2
81 2 0 0 2
82 2 0 0 2
83 2 0 0 2
84 2 0 0 2
85 2 0 0 2
86 2 0 0 2
87 2 0 0 2
88 2 0 0 2
89 2 0 0 2
90 2 0 0 2
91 2 0 0 2
92 2 0 0 2
93 2 0 0 2
94 2 0 0 2
95 2 0 0 2
96 2 0 0 2
97 2 0 0 2
98 2 0 0 2
99 2 0 0 2
100 2 0 0 2
101 2 0 0 2
102 2 0 0 2
103 2 0 0 2
104 2 0 0 2
