#Minuto PersonasLlegadas En_cola En_servicio Salidas
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 1 0 1 0
5 1 0 1 0
6 1 0 1 0
7 1 0 1 0
8 1 0 1 0
9 1 0 1 0
10 1 0 1 0
11 1 0 1 0
12 1 0 1 0
13 1 0 1 0
14 1 0 1 0
15 1 0 1 0
16 1 0 1 0
17 1 0 1 0
18 1 0 1 0
19 1 0 1 0
20 1 0 1 0
21 1 0 1 0
22 1 0 1 0
23 1 0 1 0
24 1 0 1 0
25 1 0 1 0
26 1 0 1 0
27 1 0 1 0
28 1 0 1 0
29 1 0 1 0
30 1 0 1 0
31 1 0 1 0
32 1 0 0 1
33 1 0 0 1
34 1 0 0 1
35 2 0 1 1
36 2 0 1 1
37 2 0 1 1
38 2 0 1 1
39 3 1 1 1
40 3 1 1 1
41 3 1 1 1
42 3 1 1 1
43 3 1 1 1
44 3 1 1 1
45 3 1 1 1
46 3 1 1 1
47 3 1 1 1
48 3 1 1 1
49 3 1 1 1
50 3 1 1 1
51 3 1 1 1
52 3 1 1 1
53 3 1 1 1
54 3 1 1 1
55 3 1 1 1
56 3 1 1 1
57 3 1 1 1
58 3 1 1 1
59 3 1 1 1
60 3 1 1 1
61 3 1 1 1
62 3 1 1 1
63 3 1 1 1
64 3 1 1 1
65 3 1 1 1
66 3 1 1 1
67 3 1 1 1
68 3 1 1 1
69 3 1 1 1
70 3 1 1 1
71 3 1 1 1
72 3 1 1 1
73 3 1 1 1
74 3 1 1 1
75 3 1 1 1
76 3 1 1 1
77 3 0 1 2
78 3 0 1 2
79 3 0 1 2
80 3 0 1 2
81 3 0 1 2
82 3 0 1 2
83 3 0 1 2
84 3 0 1 2
85 3 0 1 2
86 3 0 1 2
87 3 0 1 2
88 3 0 1 2
89 3 0 1 2
90 4 1 1 2
91 4 1 1 2
92 4 1 1 2
93 4 1 1 2
94 4 1 1 2
95 4 1 1 2
96 4 1 1 2
97 4 1 1 2
98 4 0 1 3
99 4 0 1 3
100 4 0 1 3
101 4 0 1 3
102 4 0 1 3
103 4 0 1 3
104 4 0 1 3
