#Minuto PersonasLlegadas En_cola En_servicio Salidas
1 1 0 1 0
2 1 0 1 0
3 2 1 1 0
4 2 1 1 0
5 2 1 1 0
6 2 1 1 0
7 2 1 1 0
8 2 1 1 0
9 2 1 1 0
10 2 1 1 0
11 2 1 1 0
12 2 1 1 0
13 2 1 1 0
14 2 1 1 0
15 2 1 1 0
16 2 0 1 1
17 2 0 1 1
18 2 0 1 1
19 2 0 1 1
20 2 0 1 1
21 2 0 1 1
22 2 0 1 1
23 2 0 1 1
24 2 0 1 1
25 2 0 0 2
26 2 0 0 2
27 2 0 0 2
28 2 0 0 2
29 2 0 0 2
30 2 0 0 2
31 2 0 0 2
32 2 0 0 2
33 2 0 0 2
34 2 0 0 2
35 2 0 0 2
36 2 0 0 2
37 2 0 0 2
38 2 0 0 2
39 2 0 0 2
40 2 0 0 2
41 2 0 0 2
42 2 0 0 2
43 2 0 0 2
44 2 0 0 2
45 2 0 0 2
46 2 0 0 2
47 2 0 0 2
48 2 0 0 2
49 2 0 0 2
50 2 0 0 2
51 2 0 0 2
52 2 0 0 2
53 2 0 0 2
54 2 0 0 2
55 2 0 0 2
56 3 0 1 2
57 3 0 1 2
58 3 0 1 2
59 3 0 1 2
60 3 0 1 2
61 3 0 1 2
62 3 0 1 2
63 3 0 1 2
64 3 0 1 2
65 3 0 0 3
66 3 0 0 3
67 3 0 0 3
68 3 0 0 3
69 3 0 0 3
70 3 0 0 3
71 3 0 0 3
72 3 0 0 3
73 3 0 0 3
74 3 0 0 3
75 3 0 0 3
76 3 0 0 3
77 3 0 0 3
78 3 0 0 3
79 3 0 0 3
80 3 0 0 3
81 3 0 0 3
82 3 0 0 3
83 3 0 0 3
84 3 0 0 3
85 3 0 0 3
86 3 0 0 3
87 3 0 0 3
88 3 0 0 3
89 3 0 0 3
90 3 0 0 3
91 3 0 0 3
92 3 0 0 3
93 3 0 0 3
94 3 0 0 3
95 3 0 0 3
96 3 0 0 3
97 3 0 0 3
98 3 0 0 3
99 3 0 0 3
100 3 0 0 3
101 3 0 0 3
102 3 0 0 3
103 3 0 0 3
104 3 0 0 3
105 3 0 0 3
106 3 0 0 3
107 3 0 0 3
108 3 0 0 3
109 3 0 0 3
110 3 0 0 3
111 3 0 0 3
112 3 0 0 3
113 3 0 0 3
114 3 0 0 3
115 3 0 0 3
116 3 0 0 3
117 3 0 0 3
118 3 0 0 3
119 3 0 0 3
120 3 0 0 3
121 3 0 0 3
122 3 0 0 3
123 3 0 0 3
124 3 0 0 3
125 3 0 0 3
126 3 0 0 3
127 3 0 0 3
128 3 0 0 3
129 3 0 0 3
130 3 0 0 3
131 3 0 0 3
132 3 0 0 3
133 3 0 0 3
134 3 0 0 3
135 3 0 0 3
136 3 0 0 3
137 3 0 0 3
138 3 0 0 3
139 3 0 0 3
140 3 0 0 3
141 3 0 0 3
142 3 0 0 3
143 3 0 0 3
144 3 0 0 3
145 3 0 0 3
146 3 0 0 3
147 3 0 0 3
148 3 0 0 3
149 3 0 0 3
150 3 0 0 3
151 3 0 0 3
152 3 0 0 3
153 3 0 0 3
154 3 0 0 3
155 3 0 0 3
156 3 0 0 3
157 3 0 0 3
158 3 0 0 3
159 3 0 0 3
160 3 0 0 3
161 3 0 0 3
162 3 0 0 3
163 3 0 0 3
164 3 0 0 3
165 3 0 0 3
166 4 0 1 3
167 4 0 1 3
168 4 0 1 3
169 4 0 1 3
170 4 0 1 3
171 5 1 1 3
172 5 1 1 3
173 5 1 1 3
174 5 1 1 3
