#Minuto PersonasLlegadas En_cola En_servicio Salidas
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 0 0 0 0
8 0 0 0 0
9 0 0 0 0
10 0 0 0 0
11 0 0 0 0
12 0 0 0 0
13 0 0 0 0
14 0 0 0 0
15 0 0 0 0
16 0 0 0 0
17 0 0 0 0
18 0 0 0 0
19 0 0 0 0
20 0 0 0 0
21 0 0 0 0
22 0 0 0 0
23 0 0 0 0
24 0 0 0 0
25 0 0 0 0
26 0 0 0 0
27 0 0 0 0
28 0 0 0 0
29 0 0 0 0
30 1 0 1 0
31 1 0 1 0
32 1 0 1 0
33 1 0 1 0
34 1 0 1 0
35 1 0 1 0
36 1 0 1 0
37 1 0 1 0
38 1 0 1 0
39 1 0 0 1
40 1 0 0 1
41 1 0 0 1
42 1 0 0 1
43 1 0 0 1
44 1 0 0 1
45 1 0 0 1
46 1 0 0 1
47 1 0 0 1
48 1 0 0 1
49 1 0 0 1
50 2 0 1 1
51 2 0 1 1
52 2 0 1 1
53 2 0 1 1
54 2 0 1 1
55 2 0 1 1
56 2 0 1 1
57 2 0 1 1
58 2 0 1 1
59 2 0 1 1
60 2 0 1 1
61 2 0 1 1
62 2 0 1 1
63 2 0 1 1
64 2 0 1 1
65 2 0 0 2
66 2 0 0 2
67 2 0 0 2
68 2 0 0 2
69 2 0 0 2
70 2 0 0 2
71 2 0 0 2
72 2 0 0 2
73 2 0 0 2
74 2 0 0 2
75 2 0 0 2
76 2 0 0 2
77 2 0 0 2
78 2 0 0 2
79 2 0 0 2
80 2 0 0 2
81 2 0 0 2
82 2 0 0 2
83 2 0 0 2
84 2 0 0 2
85 2 0 0 2
86 2 0 0 2
87 2 0 0 2
88 3 0 1 2
89 3 0 1 2
90 3 0 1 2
91 3 0 1 2
92 3 0 1 2
93 3 0 1 2
94 3 0 1 2
95 3 0 1 2
96 3 0 1 2
97 3 0 1 2
98 3 0 1 2
99 3 0 1 2
100 3 0 1 2
101 3 0 1 2
102 3 0 1 2
103 3 0 1 2
104 3 0 1 2
