#Minuto PersonasLlegadas En_cola En_servicio Salidas
1 0 0 0 0
2 0 0 0 0
3 0 0 0 0
4 0 0 0 0
5 0 0 0 0
6 0 0 0 0
7 1 0 1 0
8 1 0 1 0
9 1 0 1 0
10 1 0 0 1
11 1 0 0 1
12 1 0 0 1
13 1 0 0 1
14 1 0 0 1
15 1 0 0 1
16 1 0 0 1
17 1 0 0 1
18 1 0 0 1
19 1 0 0 1
20 1 0 0 1
21 1 0 0 1
22 1 0 0 1
23 1 0 0 1
24 1 0 0 1
25 1 0 0 1
26 1 0 0 1
27 1 0 0 1
28 1 0 0 1
29 1 0 0 1
30 2 0 1 1
31 2 0 0 2
32 2 0 0 2
33 2 0 0 2
34 3 0 1 2
35 3 0 1 2
36 3 0 1 2
37 3 0 1 2
38 3 0 1 2
39 3 0 1 2
40 3 0 1 2
41 3 0 1 2
42 3 0 1 2
43 3 0 1 2
44 3 0 1 2
45 3 0 1 2
46 3 0 1 2
47 3 0 1 2
48 3 0 1 2
49 3 0 1 2
50 3 0 0 3
51 3 0 0 3
52 3 0 0 3
53 3 0 0 3
54 3 0 0 3
55 3 0 0 3
56 3 0 0 3
57 4 0 1 3
58 4 0 1 3
59 4 0 1 3
60 4 0 1 3
61 4 0 1 3
62 4 0 1 3
63 4 0 0 4
64 4 0 0 4
65 4 0 0 4
66 4 0 0 4
67 4 0 0 4
68 4 0 0 4
69 4 0 0 4
70 4 0 0 4
71 4 0 0 4
72 4 0 0 4
73 4 0 0 4
74 4 0 0 4
75 4 0 0 4
76 4 0 0 4
77 4 0 0 4
78 4 0 0 4
79 4 0 0 4
80 4 0 0 4
81 4 0 0 4
82 4 0 0 4
83 4 0 0 4
84 4 0 0 4
85 4 0 0 4
86 4 0 0 4
87 4 0 0 4
88 4 0 0 4
89 4 0 0 4
90 4 0 0 4
91 4 0 0 4
92 4 0 0 4
93 4 0 0 4
94 4 0 0 4
95 4 0 0 4
96 4 0 0 4
97 4 0 0 4
98 4 0 0 4
99 4 0 0 4
100 4 0 0 4
101 4 0 0 4
102 4 0 0 4
103 4 0 0 4
104 4 0 0 4
